,date,calories,steps,dist,floors,sedant,active_light,active_fair,active_very,active_cals,sleep_start_hr,sleep_minutesAsleep,sleep_minutesAwake,sleep_awakeningsCount,sleep_timeInBed,sleep_REM,sleep_light,sleep_deep,sleep_start,sleep_efficiency
199,2018-01-19,3250,14677,11.08,30,560,343,46,38,2017,0.2,392.0,57.0,2.0,453.0,,,,00:12,87.0
200,2018-01-20,3284,15445,11.21,16,519,292,36,81,2035,2.38,478.0,34.0,1.0,512.0,,,,02:23,93.0
201,2018-01-21,3101,10814,8.03,3,462,266,96,35,1846,0.45,505.0,76.0,5.0,581.0,,,,00:27,87.0
202,2018-01-22,3120,9543,7.06,20,846,95,18,48,889,0.47,368.0,55.0,5.0,433.0,,,,00:28,87.0
203,2018-01-23,2577,8033,6.0,21,1192,219,11,18,1126,,,,,,,,,,
204,2018-01-24,3255,12140,9.21,22,799,198,66,87,1910,3.02,267.0,21.0,3.0,290.0,,,,03:01,93.0
205,2018-01-25,2780,7967,5.92,21,753,208,37,38,1361,0.82,374.0,29.0,2.0,404.0,,,,00:49,93.0
206,2018-01-26,2737,9783,7.27,12,746,216,38,24,1334,0.33,891.0,111.0,58.0,1005.0,121.0,288.0,100.0,00:20,92.0
207,2018-01-27,3351,15841,11.77,8,358,307,51,68,2110,23.45,64.0,3.0,0.0,67.0,,,,23:27,86.0
208,2018-01-28,2434,6511,4.83,2,1166,266,3,5,1045,,,,,,,,,,
209,2018-01-29,2770,11674,8.67,20,718,239,28,42,1406,0.77,362.0,51.0,28.0,413.0,76.0,181.0,105.0,00:46,88.0
210,2018-01-30,3002,12223,9.11,27,726,186,59,66,1627,0.57,349.0,54.0,28.0,403.0,75.0,190.0,84.0,00:34,87.0
211,2018-01-31,3043,11454,8.55,25,667,174,115,54,1706,0.6,395.0,32.0,4.0,430.0,,,,00:36,93.0
212,2017-12-01,2832,10082,7.54,18,678,292,17,34,1512,0.93,906.0,87.0,8.0,1001.0,,,,00:56,96.0
213,2017-12-02,3114,13749,10.22,3,397,290,30,80,1865,23.03,58.0,2.0,0.0,61.0,,,,23:02,89.0
214,2017-12-03,2437,6507,4.83,6,604,292,8,0,1080,0.7,471.0,65.0,5.0,536.0,,,,00:42,88.0
215,2017-12-04,2964,12631,9.45,24,694,252,68,32,1656,1.17,343.0,51.0,18.0,394.0,75.0,169.0,99.0,01:10,87.0
216,2017-12-05,2648,8528,6.34,24,1182,204,32,22,1233,,,,,,,,,,
217,2017-12-06,3054,9593,7.13,2,573,334,79,13,1837,1.65,374.0,67.0,24.0,441.0,69.0,223.0,82.0,01:39,85.0
218,2017-12-07,3228,12885,9.73,29,659,244,48,75,1930,0.92,355.0,59.0,25.0,414.0,61.0,210.0,84.0,00:55,86.0
219,2017-12-08,2979,9997,7.43,2,495,336,47,12,1736,0.87,472.0,78.0,34.0,550.0,91.0,219.0,105.0,00:52,85.0
220,2017-12-09,2831,11766,8.74,15,559,150,66,64,1442,0.33,502.0,99.0,43.0,601.0,123.0,265.0,114.0,00:20,84.0
221,2017-12-10,2677,5901,4.38,0,641,220,60,18,1315,1.47,429.0,72.0,36.0,501.0,70.0,270.0,89.0,01:28,86.0
222,2017-12-11,3033,11641,8.65,21,736,201,55,68,1672,1.38,331.0,49.0,22.0,380.0,61.0,190.0,80.0,01:23,87.0
223,2017-12-12,2877,10592,7.87,22,723,259,23,42,1525,1.12,347.0,46.0,3.0,393.0,,,,01:07,88.0
224,2017-12-13,3576,14801,11.12,15,626,248,62,117,2308,1.18,351.0,33.0,2.0,387.0,,,,01:11,91.0
225,2017-12-14,2703,9188,6.91,16,769,212,23,28,1273,0.93,338.0,70.0,33.0,408.0,48.0,203.0,87.0,00:56,83.0
226,2017-12-15,3130,11989,8.97,25,677,232,71,54,1802,1.02,819.0,97.0,36.0,916.0,53.0,202.0,85.0,01:01,86.0
227,2017-12-16,3025,11902,8.87,4,596,204,53,77,1688,23.85,,,,,,,,23:51,92.0
228,2017-12-17,2502,5969,4.43,0,632,306,0,0,1124,1.22,427.0,75.0,33.0,502.0,86.0,222.0,119.0,01:13,85.0
229,2017-12-18,2992,11240,8.35,21,818,118,39,39,1014,0.4,361.0,65.0,19.0,426.0,62.0,214.0,85.0,00:24,85.0
230,2017-12-19,2755,9318,6.92,24,1440,0,0,0,0,,,,,,,,,,
231,2017-12-20,3205,9672,7.19,21,885,197,68,83,1845,4.17,554.0,59.0,3.0,614.0,,,,04:10,93.0
